Character,X_Start,Y_Start,X_End,Y_End,Line_Number,Word_Number,Char_Number_in_Word,X_Center,Y_Center
f,3088,728,3126,781,3,40,2,3107.0,747.5
r,3126,728,3164,781,3,40,3,3145.0,742.0
i,3164,728,3202,781,3,40,4,3183.0,748.5
c,3202,728,3240,782,3,40,5,3221.0,742.5
a,3240,728,3278,782,3,40,6,3259.0,742.5
",",3278,728,3316,790,3,40,7,3297.0,737.5
t,10,854,48,908,4,41,1,29.0,872.5
r,48,854,86,907,4,41,2,67.0,868.0
a,86,854,124,908,4,41,3,105.0,868.5
j,124,854,162,919,4,41,4,143.0,880.5
e,162,854,200,908,4,41,5,181.0,868.5
r,200,854,238,907,4,41,6,219.0,868.0
o,238,854,276,908,4,41,7,257.0,868.5
n,276,854,314,907,4,41,8,295.0,868.0
 ,314,854,352,907,4,41,0,333.0,854.0
c,352,854,390,908,4,42,1,371.0,868.5
o,390,854,428,908,4,42,2,409.0,868.5
n,428,854,466,907,4,42,3,447.0,868.0
s,466,854,504,908,4,42,4,485.0,868.5
i,504,854,542,907,4,42,5,523.0,874.5
g,542,854,580,919,4,42,6,561.0,874.0
o,580,854,618,908,4,42,7,599.0,868.5
 ,618,854,656,907,4,42,0,637.0,854.0
e,656,854,694,908,4,43,1,675.0,868.5
n,694,854,732,907,4,43,2,713.0,868.0
f,732,854,770,907,4,43,3,751.0,873.5
e,770,854,808,908,4,43,4,789.0,868.5
r,808,854,846,907,4,43,5,827.0,868.0
m,846,854,884,907,4,43,6,865.0,868.0
e,884,854,922,908,4,43,7,903.0,868.5
d,922,854,960,908,4,43,8,941.0,874.0
a,960,854,998,908,4,43,9,979.0,868.5
d,998,854,1036,908,4,43,10,1017.0,874.0
e,1036,854,1074,908,4,43,11,1055.0,868.5
s,1074,854,1112,908,4,43,12,1093.0,868.5
 ,1112,854,1150,907,4,43,0,1131.0,854.0
i,1150,854,1188,907,4,44,1,1169.0,874.5
n,1188,854,1226,907,4,44,2,1207.0,868.0
f,1226,854,1264,907,4,44,3,1245.0,873.5
e,1264,854,1302,908,4,44,4,1283.0,868.5
c,1302,854,1340,908,4,44,5,1321.0,868.5
c,1340,854,1378,908,4,44,6,1359.0,868.5
i,1378,854,1416,907,4,44,7,1397.0,874.5
o,1416,854,1454,908,4,44,8,1435.0,868.5
s,1454,854,1492,908,4,44,9,1473.0,868.5
a,1492,854,1530,908,4,44,10,1511.0,868.5
s,1530,854,1568,908,4,44,11,1549.0,868.5
 ,1568,854,1606,907,4,44,0,1587.0,854.0
n,1606,854,1644,907,4,45,1,1625.0,868.0
u,1644,854,1682,908,4,45,2,1663.0,868.0
e,1682,854,1720,908,4,45,3,1701.0,868.5
v,1720,854,1758,907,4,45,4,1739.0,867.5
a,1758,854,1796,908,4,45,5,1777.0,868.5
s,1796,854,1834,908,4,45,6,1815.0,868.5
 ,1834,854,1872,907,4,45,0,1853.0,854.0
c,1872,854,1910,908,4,46,1,1891.0,868.5
o,1910,854,1948,908,4,46,2,1929.0,868.5
n,1948,854,1986,907,4,46,3,1967.0,868.0
t,1986,854,2024,908,4,46,4,2005.0,872.5
r,2024,854,2062,907,4,46,5,2043.0,868.0
a,2062,854,2100,908,4,46,6,2081.0,868.5
 ,2100,854,2138,907,4,46,0,2119.0,854.0
l,2138,854,2176,907,4,47,1,2157.0,873.5
a,2176,854,2214,908,4,47,2,2195.0,868.5
s,2214,854,2252,908,4,47,3,2233.0,868.5
 ,2252,854,2290,907,4,47,0,2271.0,854.0
c,2290,854,2328,908,4,48,1,2309.0,868.5
u,2328,854,2366,908,4,48,2,2347.0,868.0
a,2366,854,2404,908,4,48,3,2385.0,868.5
l,2404,854,2442,907,4,48,4,2423.0,873.5
e,2442,854,2480,908,4,48,5,2461.0,868.5
s,2480,854,2518,908,4,48,6,2499.0,868.5
 ,2518,854,2556,907,4,48,0,2537.0,854.0
l,2556,854,2594,907,4,49,1,2575.0,873.5
o,2594,854,2632,908,4,49,2,2613.0,868.5
s,2632,854,2670,908,4,49,3,2651.0,868.5
 ,2670,854,2708,907,4,49,0,2689.0,854.0
n,2708,854,2746,907,4,50,1,2727.0,868.0
e,2746,854,2784,908,4,50,2,2765.0,868.5
a,2784,854,2822,908,4,50,3,2803.0,868.5
n,2822,854,2860,907,4,50,4,2841.0,868.0
