x,y,start,stop,subject,trial_id
460,301,4057,4161,204,30
665,275,4377,4445,204,30
362,360,5013,5109,204,30
270,346,5141,5209,204,30
979,323,7312,7376,204,30
941,327,7392,7476,204,30
1139,335,7576,7732,204,30
917,297,7780,7928,204,30
968,276,7948,8104,204,30
1160,320,8336,8508,204,30
1372,293,9104,9164,204,30
1433,293,9680,9828,204,30
206,331,10096,10256,204,30
197,327,10432,10532,204,30
852,369,13175,13251,204,30
886,314,14507,14603,204,30
780,329,14718,14798,204,30
610,330,14878,15022,204,30
662,320,15058,15138,204,30
640,335,15170,15258,204,30
804,332,15298,15434,204,30
929,378,15750,15814,204,30
1133,354,15978,16126,204,30
925,320,16254,16410,204,30
927,306,16638,16922,204,30
991,311,16942,17094,204,30
1112,315,17122,17230,204,30
927,309,17294,17454,204,30
1140,315,17510,17686,204,30
1221,369,17858,17946,204,30
1222,339,17974,18058,204,30
1540,343,18370,18474,204,30
1268,487,19829,19917,204,30
1217,446,19945,20205,204,30
1340,442,20229,20517,204,30
1240,392,20573,20701,204,30
1403,368,20741,20893,204,30
1484,397,21033,21173,204,30
1514,402,21197,21249,204,30
1654,365,21389,21521,204,30
1388,391,21561,21653,204,30
1315,389,21773,21825,204,30
1536,391,22021,22080,204,30
1538,375,22112,22237,204,30
1669,373,22300,22472,204,30
1630,357,22496,22640,204,30
246,423,22888,23000,204,30
232,432,23128,23240,204,30
343,436,23316,23476,204,30
474,446,23500,23660,204,30
478,478,23788,23956,204,30
716,472,24012,24176,204,30
662,436,24200,24252,204,30
662,448,24296,24376,204,30
798,439,24404,24508,204,30
784,434,24536,24620,204,30
945,424,24656,24860,204,30
700,440,24900,25092,204,30
710,453,25120,25236,204,30
854,458,25384,25436,204,30
955,446,25532,25632,204,30
986,461,25852,25948,204,30
954,476,26235,26288,204,30
966,452,26647,26711,204,30
961,436,26739,27039,204,30
949,438,27067,27123,204,30
952,431,27151,27219,204,30
921,440,27319,27379,204,30
932,432,27407,27463,204,30
939,446,27863,27935,204,30
948,452,27963,28067,204,30
930,440,28135,28227,204,30
968,453,28379,28443,204,30
993,458,28691,28759,204,30
950,453,28919,29031,204,30
943,422,29067,29143,204,30
959,449,29618,29735,204,30
1027,453,30082,30166,204,30
1168,440,30506,30606,204,30
1150,432,30634,30730,204,30
1166,454,30918,31194,204,30
1336,440,31322,31682,204,30
1366,443,31726,31894,204,30
1504,416,31966,32174,204,30
1460,433,32290,32350,204,30
1612,410,32382,32490,204,30
1691,406,32566,32742,204,30
232,491,32986,33070,204,30
428,473,33338,33406,204,30
437,477,33706,33813,204,30
640,484,34321,34485,204,30
826,506,34733,34821,204,30
389,471,37584,37688,204,30
633,478,37780,38024,204,30
1306,536,40504,40632,204,30
1412,519,40676,40864,204,30
1585,523,40904,41076,204,30
1287,544,41116,41239,204,30
229,612,41387,41447,204,30
1494,542,41643,41851,204,30
1611,527,41880,42007,204,30
1357,538,42043,42191,204,30
1495,521,42303,42383,204,30
1712,501,42427,42531,204,30
251,577,42767,42827,204,30
218,155,2,70,1111,30
387,190,106,222,1111,30
694,190,266,398,1111,30
841,184,438,590,1111,30
697,186,642,790,1111,30
661,185,810,1166,1111,30
729,165,1190,1330,1111,30
811,192,1358,1510,1111,30
853,191,1530,1598,1111,30
1051,192,1654,1986,1111,30
969,191,2014,2206,1111,30
1209,198,2246,2450,1111,30
978,188,2498,2785,1111,30
1192,176,2830,3006,1111,30
510,195,3077,3209,1111,30
277,195,3261,3417,1111,30
332,180,3441,3541,1111,30
301,236,3569,3757,1111,30
485,228,3809,3985,1111,30
567,249,4009,4109,1111,30
250,175,4165,4349,1111,30
311,208,4377,4553,1111,30
525,246,4605,4765,1111,30
316,230,4805,4945,1111,30
462,222,4977,5137,1111,30
538,246,5161,5289,1111,30
755,267,5337,5629,1111,30
545,270,5673,5853,1111,30
597,283,5873,6153,1111,30
497,270,6181,6345,1111,30
776,294,6389,6744,1111,30
1076,304,6792,7012,1111,30
996,307,7048,7232,1111,30
1163,291,7284,7452,1111,30
1328,301,7492,7632,1111,30
968,287,7684,7968,1111,30
1073,298,8004,8140,1111,30
1175,288,8176,8324,1111,30
1472,277,8376,8532,1111,30
1591,273,8564,8696,1111,30
371,302,8876,8972,1111,30
473,305,8996,9140,1111,30
263,296,9192,9268,1111,30
709,316,9316,9480,1111,30
666,318,9504,9620,1111,30
872,336,9660,9820,1111,30
451,363,9872,10072,1111,30
295,343,10100,10244,1111,30
793,344,10379,10524,1111,30
914,330,10568,10755,1111,30
1146,339,10803,11103,1111,30
918,334,11147,11351,1111,30
801,361,11471,11631,1111,30
1420,336,11807,11999,1111,30
652,315,12071,12279,1111,30
706,333,12299,12491,1111,30
852,356,12531,12815,1111,30
928,354,12843,13199,1111,30
972,359,13219,13439,1111,30
886,374,13491,13619,1111,30
805,385,13659,13835,1111,30
877,378,13863,14014,1111,30
1064,369,14062,14346,1111,30
1147,381,14370,14598,1111,30
1251,371,14634,14782,1111,30
1195,364,14802,14990,1111,30
1365,358,15026,15214,1111,30
1300,359,15238,15478,1111,30
