Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	AOI Name
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	62	20390.6	20586.5	1738679840822.5	1738679841018.4	195.9	914.9	489.9	3.3	3.3	3.3	26.0	27.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	63	20682.5	20842.4	1738679841114.4	1738679841274.3	159.9	738.5	496.9	3.4	3.4	3.4	17.8	10.4	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	64	20874.4	21570.2	1738679841306.3	1738679842002.1	695.8	686.0	501.8	3.4	3.4	3.4	39.8	51.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	65	21694.2	21858.2	1738679842126.1	1738679842290.0	163.9	765.7	482.0	3.5	3.5	3.5	18.1	12.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	66	21890.1	22162.1	1738679842322.0	1738679842594.0	272.0	883.9	507.9	3.4	3.4	3.4	20.8	35.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	67	22198.0	22566.0	1738679842629.9	1738679842997.9	368.0	955.9	471.4	3.5	3.5	3.5	45.6	29.0	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	68	22610.2	23021.8	1738679843042.1	1738679843453.7	411.6	977.2	460.3	3.5	3.5	3.5	21.0	38.2	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	69	23049.9	23589.7	1738679843481.8	1738679844021.6	539.8	908.1	511.2	3.3	3.3	3.3	48.4	64.7	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	70	23617.8	23829.7	1738679844049.7	1738679844261.5	211.9	917.3	493.7	3.5	3.5	3.5	14.5	15.5	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	71	23853.6	24293.5	1738679844285.4	1738679844725.3	439.9	972.6	469.1	3.5	3.5	3.5	28.4	41.8	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	72	24333.6	24449.5	1738679844765.5	1738679844881.3	115.8	1153.3	481.3	3.4	3.4	3.4	17.6	9.1	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	73	24729.4	24881.6	1738679845161.3	1738679845313.4	152.1	1287.3	459.2	3.4	3.4	3.4	17.4	22.3	White Space
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	74	24917.3	25081.4	1738679845349.2	1738679845513.3	164.0	1413.1	472.3	3.5	3.5	3.5	32.0	29.4	White Space
