Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	15	4194.9	4482.8	1738679824626.7	1738679824914.7	287.9	475.9	296.2	3.4	3.4	3.4	27.7	30.6	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	20	4482.8	4514.7	1738679824914.7	1738679824946.6	32.0	-	-	-	-	-	-	-	481.3	298.3	571.6	290.3	2.3	4777.6	6759.7	-7407.9	70.6	160.5	62.8	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	16	4622.8	4714.7	1738679825054.6	1738679825146.6	92.0	570.5	300.0	3.4	3.4	3.4	13.6	12.7	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	21	4714.7	4746.7	1738679825146.6	1738679825178.6	32.0	-	-	-	-	-	-	-	573.1	303.8	738.2	308.4	2.9	6399.4	9025.1	-8666.2	90.5	196.5	63.0	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	17	4746.7	4930.7	1738679825178.6	1738679825362.6	184.0	737.7	295.2	3.4	3.4	3.4	61.4	32.8	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	22	4930.7	4958.7	1738679825362.6	1738679825390.5	28.0	-	-	-	-	-	-	-	723.1	291.7	879.4	281.0	2.7	6734.1	9666.3	-8341.1	95.5	211.3	56.9	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Blink	Right	2	5090.6	5274.5	1738679825522.4	1738679825706.4	183.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	23	5294.5	5342.5	1738679825726.4	1738679825774.3	47.9	-	-	-	-	-	-	-	943.6	268.7	943.4	310.9	1.4	653.2	659.9	-1529.4	28.6	42.1	75.0	-	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Fixation	Right	18	5342.5	5434.5	1738679825774.3	1738679825866.4	92.0	952.7	322.3	3.5	3.5	3.5	15.7	43.9	-	-	-	-	-	-	-	-	-	-	-	White Space	-	-	-	-	-	-	-	-	-
Trial004	1738679820431.9	pagina_1.png	0.0	51749.8	Prueba_TxtImagen	Coral	98.6	Eye	Saccade	Right	24	5434.5	5478.5	1738679825866.4	1738679825910.3	44.0	-	-	-	-	-	-	-	948.0	314.3	1095.6	290.2	3.2	5125.1	8490.0	-7865.8	73.3	182.7	36.5	-	-	-	-	-	-	-	-	-	-
