Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Tracking Ratio [%]	Category Group	Category	Eye L/R	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Fixation Average Pupil Size X [px]	Fixation Average Pupil Size Y [px]	Fixation Average Pupil Diameter [mm]	Fixation Dispersion X [px]	Fixation Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Port Status	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	19	5082.7	5250.7	1714650020269.5	1714650020437.5	168.0	471.0	143.4	3.2	3.2	3.2	22.9	20.0	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	20	5270.7	5430.7	1714650020457.5	1714650020617.5	160.0	430.0	143.0	3.2	3.2	3.2	24.3	21.9	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	19	5430.7	5466.7	1714650020617.5	1714650020653.5	36.0	-	-	-	-	-	-	-	426.4	137.4	553.5	142.8	2.3	4170.5	6363.1	-5792.7	63.6	136.2	44.1	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	21	5466.7	5834.5	1714650020653.5	1714650021021.3	367.8	540.0	143.0	3.2	3.2	3.2	45.9	16.5	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	20	5834.5	5874.6	1714650021021.3	1714650021061.4	40.1	-	-	-	-	-	-	-	525.1	140.6	778.7	138.0	4.7	7223.9	10968.0	-9135.7	118.2	223.2	40.0	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	22	5874.6	6198.5	1714650021061.4	1714650021385.3	323.9	809.8	154.5	3.1	3.1	3.1	61.5	29.5	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	21	6198.5	6230.3	1714650021385.3	1714650021417.2	31.9	-	-	-	-	-	-	-	824.6	143.1	882.4	144.2	1.0	1183.1	1625.8	-1974.8	32.6	52.5	62.6	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	23	6230.3	6622.3	1714650021417.2	1714650021809.1	391.9	876.2	152.8	3.0	3.0	3.0	63.4	30.6	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Saccade	Right	22	6622.3	6666.3	1714650021809.1	1714650021853.1	44.0	-	-	-	-	-	-	-	843.6	145.4	1082.1	157.1	4.5	6864.7	11305.0	-9904.9	102.4	240.8	45.9	-	-	-	-	-	-	-	-	-	-
Trial017	1714650015186.8	P3.rtf	0.0	52014.7	BC03008	98.7	Eye	Fixation	Right	24	6666.3	7070.1	1714650021853.1	1714650022256.9	403.9	1085.6	160.1	3.1	3.1	3.1	24.0	23.4	-	-	-	-	-	-	-	-	-	-	-	P3	-	-	-	-	-	-	-	-	-
