Name,char_xmin,char_ymin,char_xmax,char_ymax,width,height,paragraph,section,word,letter,region,assigned_line,char,char_x_center,char_y_center,trial_id
__re_p1_s1_w1_c2_r0_l3_o,1289,289,1309,330,20,41,1,1,1,2,0,3,o,1299,309.5,1
__re_p1_s1_w1_c3_r0_l3_r,1309,289,1326,330,17,41,1,1,1,3,0,3,r,1317.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_e,1327,289,1353,330,26,41,1,1,1,1,0,3,e,1340,309.5,1
__re_p1_s1_w1_c2_r0_l3_l,1353,289,1366,330,13,41,1,1,1,2,0,3,l,1359.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_c,1366,289,1390,330,24,41,1,1,1,1,0,3,c,1378,309.5,1
__re_p1_s1_w1_c2_r0_l3_i,1390,289,1397,330,7,41,1,1,1,2,0,3,i,1393.5,309.5,1
__re_p1_s1_w1_c3_r0_l3_e,1398,289,1418,330,20,41,1,1,1,3,0,3,e,1408,309.5,1
__re_p1_s1_w1_c4_r0_l3_l,1418,289,1425,330,7,41,1,1,1,4,0,3,l,1421.5,309.5,1
__re_p1_s1_w1_c5_r0_l3_o,1426,289,1446,330,20,41,1,1,1,5,0,3,o,1436,309.5,1
__re_p1_s1_w1_c6_r0_l3_.,1447,289,1462,330,15,41,1,1,1,6,0,3,.,1454.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_P,1463,289,1492,330,29,41,1,1,1,1,0,3,P,1477.5,309.5,1
__re_p1_s1_w1_c2_r0_l3_e,1492,289,1512,330,20,41,1,1,1,2,0,3,e,1502,309.5,1
__re_p1_s1_w1_c3_r0_l3_r,1513,289,1524,330,11,41,1,1,1,3,0,3,r,1518.5,309.5,1
__re_p1_s1_w1_c4_r0_l3_o,1524,289,1544,330,20,41,1,1,1,4,0,3,o,1534,309.5,1
"__re_p1_s1_w1_c5_r0_l3_,",1545,289,1560,330,15,41,1,1,1,5,0,3,",",1552.5,309.5,1
__re_p1_s1_w1_c1_r0_l3_c,1561,289,1584,330,23,41,1,1,1,1,0,3,c,1572.5,309.5,1
__re_p1_s1_w1_c2_r0_l3_o,1584,289,1604,330,20,41,1,1,1,2,0,3,o,1594,309.5,1
__re_p1_s1_w1_c3_r0_l3_m,1604,289,1633,330,29,41,1,1,1,3,0,3,m,1618.5,309.5,1
__re_p1_s1_w1_c4_r0_l3_o,1634,289,1660,330,26,41,1,1,1,4,0,3,o,1647,309.5,1
__re_p1_s1_w1_c1_r0_l4_d,260,330,285,372,25,42,1,1,1,1,0,4,d,272.5,351,1
__re_p1_s1_w1_c2_r0_l4_e,285,330,305,372,20,42,1,1,1,2,0,4,e,295,351,1
__re_p1_s1_w1_c3_r0_l4_c,305,330,323,372,18,42,1,1,1,3,0,4,c,314,351,1
__re_p1_s1_w1_c4_r0_l4_i,323,330,330,372,7,42,1,1,1,4,0,4,i,326.5,351,1
__re_p1_s1_w1_c5_r0_l4_m,331,330,360,372,29,42,1,1,1,5,0,4,m,345.5,351,1
__re_p1_s1_w1_c6_r0_l4_o,361,330,381,372,20,42,1,1,1,6,0,4,o,371,351,1
__re_p1_s1_w1_c7_r0_l4_s,381,330,399,372,18,42,1,1,1,7,0,4,s,390,351,1
"__re_p1_s1_w1_c8_r0_l4_,",399,330,417,372,18,42,1,1,1,8,0,4,",",408,351,1
__re_p1_s1_w1_c1_r0_l4_r,418,330,437,372,19,42,1,1,1,1,0,4,r,427.5,351,1
__re_p1_s1_w1_c2_r0_l4_e,438,330,458,372,20,42,1,1,1,2,0,4,e,448,351,1
__re_p1_s1_w1_c3_r0_l4_c,458,330,476,372,18,42,1,1,1,3,0,4,c,467,351,1
__re_p1_s1_w1_c4_r0_l4_h,476,330,496,372,20,42,1,1,1,4,0,4,h,486,351,1
__re_p1_s1_w1_c5_r0_l4_a,496,330,516,372,20,42,1,1,1,5,0,4,a,506,351,1
__re_p1_s1_w1_c6_r0_l4_z,516,330,534,372,18,42,1,1,1,6,0,4,z,525,351,1
__re_p1_s1_w1_c7_r0_l4_a,534,330,554,372,20,42,1,1,1,7,0,4,a,544,351,1
__re_p1_s1_w1_c8_r0_l4_n,554,330,574,372,20,42,1,1,1,8,0,4,n,564,351,1
__re_p1_s1_w1_c9_r0_l4_d,574,330,594,372,20,42,1,1,1,9,0,4,d,584,351,1
__re_p1_s1_w1_c10_r0_l4_o,594,330,623,372,29,42,1,1,1,10,0,4,o,608.5,351,1
__re_p1_s1_w1_c1_r0_l4_e,623,330,652,372,29,42,1,1,1,1,0,4,e,637.5,351,1
__re_p1_s1_w1_c2_r0_l4_l,652,330,668,372,16,42,1,1,1,2,0,4,l,660,351,1
__re_p1_s1_w1_c1_r0_l4_c,669,330,696,372,27,42,1,1,1,1,0,4,c,682.5,351,1
__re_p1_s1_w1_c2_r0_l4_a,696,330,716,372,20,42,1,1,1,2,0,4,a,706,351,1
__re_p1_s1_w1_c3_r0_l4_r,716,330,727,372,11,42,1,1,1,3,0,4,r,721.5,351,1
__re_p1_s1_w1_c4_r0_l4_á,728,330,748,372,20,42,1,1,1,4,0,4,á,738,351,1
__re_p1_s1_w1_c5_r0_l4_c,748,330,766,372,18,42,1,1,1,5,0,4,c,757,351,1
__re_p1_s1_w1_c6_r0_l4_t,766,330,776,372,10,42,1,1,1,6,0,4,t,771,351,1
__re_p1_s1_w1_c7_r0_l4_e,776,330,796,372,20,42,1,1,1,7,0,4,e,786,351,1
__re_p1_s1_w1_c8_r0_l4_r,796,330,816,372,20,42,1,1,1,8,0,4,r,806,351,1
__re_p1_s1_w1_c1_r0_l4_c,817,330,844,372,27,42,1,1,1,1,0,4,c,830.5,351,1
__re_p1_s1_w1_c2_r0_l4_e,844,330,864,372,20,42,1,1,1,2,0,4,e,854,351,1
__re_p1_s1_w1_c3_r0_l4_l,864,330,871,372,7,42,1,1,1,3,0,4,l,867.5,351,1
__re_p1_s1_w1_c4_r0_l4_e,872,330,892,372,20,42,1,1,1,4,0,4,e,882,351,1
__re_p1_s1_w1_c5_r0_l4_s,892,330,910,372,18,42,1,1,1,5,0,4,s,901,351,1
__re_p1_s1_w1_c6_r0_l4_t,910,330,920,372,10,42,1,1,1,6,0,4,t,915,351,1
__re_p1_s1_w1_c7_r0_l4_e,920,330,949,372,29,42,1,1,1,7,0,4,e,934.5,351,1
__re_p1_s1_w1_c1_r0_l4_q,949,330,978,372,29,42,1,1,1,1,0,4,q,963.5,351,1
__re_p1_s1_w1_c2_r0_l4_u,978,330,998,372,20,42,1,1,1,2,0,4,u,988,351,1
__re_p1_s1_w1_c3_r0_l4_e,998,330,1026,372,28,42,1,1,1,3,0,4,e,1012,351,1
__re_p1_s1_w1_c1_r0_l4_l,1027,330,1042,372,15,42,1,1,1,1,0,4,l,1034.5,351,1
__re_p1_s1_w1_c2_r0_l4_e,1043,330,1063,372,20,42,1,1,1,2,0,4,e,1053,351,1
__re_p1_s1_w1_c3_r0_l4_s,1063,330,1090,372,27,42,1,1,1,3,0,4,s,1076.5,351,1
__re_p1_s1_w1_c1_r0_l4_a,1090,330,1119,372,29,42,1,1,1,1,0,4,a,1104.5,351,1
