Trial;Trial Start Raw Time [ms];Stimulus;Export Start Trial Time [ms];Export End Trial Time [ms];Participant;Color;Tracking Ratio [%];Category Group;Category;Eye L/R;Index;Event Start Trial Time [ms];Event End Trial Time [ms];Event Start Raw Time [ms];Event End Raw Time [ms];Event Duration [ms];Fixation Position X [px];Fixation Position Y [px];Fixation Average Pupil Size X [px];Fixation Average Pupil Size Y [px];Fixation Average Pupil Diameter [mm];Fixation Dispersion X [px];Fixation Dispersion Y [px];AOI Name
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;97;32387.5;32751.4;1739440010545.1;1739440010909.0;363.9;726.3;584.4;3.5;3.5;3.5;48.0;25.2;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;98;32823.5;33287.2;1739440010981.1;1739440011444.8;463.7;873.9;629.7;3.3;3.3;3.3;66.0;59.3;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;99;33323.3;33579.1;1739440011480.9;1739440011736.7;255.8;1113.6;622.5;3.5;3.5;3.5;34.7;48.6;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;100;33659.2;33875.0;1739440011816.8;1739440012032.7;215.9;1231.8;611.6;3.4;3.4;3.4;33.3;64.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;101;33947.0;34127.0;1739440012104.6;1739440012284.7;180.1;1427.6;594.4;3.5;3.5;3.5;59.5;58.5;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;102;34175.1;34499.0;1739440012332.7;1739440012656.6;323.9;1521.3;575.5;3.4;3.4;3.4;61.0;43.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;103;34534.9;34650.9;1739440012692.5;1739440012808.5;115.9;1634.6;603.4;3.2;3.2;3.2;50.7;56.7;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;104;34694.9;34802.9;1739440012852.5;1739440012960.5;107.9;1625.1;560.1;3.4;3.4;3.4;42.8;35.4;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;105;34906.9;35398.8;1739440013064.5;1739440013556.4;491.9;223.0;636.9;3.4;3.4;3.4;29.9;21.0;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;106;35430.6;35906.5;1739440013588.2;1739440014064.1;475.9;493.4;652.7;3.4;3.4;3.4;50.7;41.1;White Space
Trial004;1739439978157.6;10.png;0.0;50646.2;Prueba3reslucion;Cyan;100.0;Eye;Fixation;Right;107;35934.6;36314.4;1739440014092.2;1739440014472.0;379.8;648.7;655.2;3.4;3.4;3.4;45.2;46.7;White Space
